"waterbody_segment","pollutant_name","pollutant_group","test_fraction","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance"
"DALECARLIA TRIBUTARY","4_4_DDD","DDD",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","4_4_DDE","DDE",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","4_4_DDT","DDT",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","ACENAPHTHENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","ANTHRACENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","CHRYSENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
