"waterbody_segment","pollutant_name","pollutant_group","test_fraction","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance"
"OXON RUN","BENZO_A_ANTHRACENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","BENZO_A_PYRENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","BENZO_B_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","BENZO_K_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","CHRYSENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","DIELDRIN","DIELDRIN",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"OXON RUN","FLUORANTHENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","FLUORENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","NAPHTHALENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","PYRENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","4_4_DDD","DDD",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","4_4_DDE","DDE",NA,2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","4_4_DDT","DDT",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","ACENAPHTHENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","ANTHRACENE","PAH1",NA,4,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","BENZO_A_PYRENE","PAH3",NA,4,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","CHRYSENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","DIELDRIN","DIELDRIN",NA,2,2013,2,"2013",2,0,0,2,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"PINEHURST BRANCH","FLUORANTHENE","PAH2",NA,4,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","FLUORENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"PINEHURST BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","NAPHTHALENE","PAH1",NA,4,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEHURST BRANCH","PCB_TOTAL","PCB_TOTAL",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"PINEHURST BRANCH","PYRENE","PAH2",NA,4,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","4_4_DDD","DDD",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","4_4_DDE","DDE",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","4_4_DDT","DDT",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","ACENAPHTHENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","ANTHRACENE","PAH1",NA,3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","BENZO_A_PYRENE","PAH3",NA,3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","CHRYSENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","DIELDRIN","DIELDRIN",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"PINEY BRANCH","FLUORANTHENE","PAH2",NA,3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","FLUORENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"PINEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","NAPHTHALENE","PAH1",NA,3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PINEY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"PINEY BRANCH","PYRENE","PAH2",NA,3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POPE BRANCH","4_4_DDD","DDD",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POPE BRANCH","4_4_DDE","DDE",NA,7,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,4
"POPE BRANCH","4_4_DDT","DDT",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POPE BRANCH","ACENAPHTHENE","PAH1",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POPE BRANCH","ANTHRACENE","PAH1",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POPE BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,7,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,4
"POPE BRANCH","BENZO_A_PYRENE","PAH3",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POPE BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,7,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,4
"POPE BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POPE BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,7,2019,1,"2013",6,1,0,1,2013-11-27,"2013",NA,"Never",2013-11-27,"2013",5,NA,5
"POPE BRANCH","CHRYSENE","PAH2",NA,7,2019,1,"2014",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POPE BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,7,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,4
"POPE BRANCH","DIELDRIN","DIELDRIN",NA,7,2019,2,"2018",6,0,0,2,NA,"Never",NA,"Never",2018-10-12,"2018",NA,NA,1
"POPE BRANCH","FLUORANTHENE","PAH2",NA,7,2019,1,"2014",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POPE BRANCH","FLUORENE","PAH1",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POPE BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,7,2019,3,"2014",6,0,0,3,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,4
"POPE BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,7,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,4
"POPE BRANCH","NAPHTHALENE","PAH1",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POPE BRANCH","PCB_TOTAL","PCB_TOTAL",NA,3,2014,3,"2014",3,0,0,3,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,0
"POPE BRANCH","PYRENE","PAH2",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","4_4_DDD","DDD",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","4_4_DDE","DDE",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","4_4_DDT","DDT",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","ACENAPHTHENE","PAH1",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","ANTHRACENE","PAH1",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","BENZO_A_PYRENE","PAH3",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","CHRYSENE","PAH2",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","DIELDRIN","DIELDRIN",NA,2,2013,2,"2013",1,0,0,2,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"PORTAL BRANCH","FLUORANTHENE","PAH2",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","FLUORENE","PAH1",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,2,2013,2,"2013",1,0,0,2,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"PORTAL BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","NAPHTHALENE","PAH1",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"PORTAL BRANCH","PCB_TOTAL","PCB_TOTAL",NA,2,2013,2,"2013",1,0,0,2,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"PORTAL BRANCH","PYRENE","PAH2",NA,2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","4_4_DDD","DDD",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","4_4_DDE","DDE",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","4_4_DDT","DDT",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","ACENAPHTHENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","ANTHRACENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","BENZO_A_ANTHRACENE","PAH2",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","BENZO_A_PYRENE","PAH3",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","CHRYSENE","PAH2",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","DIELDRIN","DIELDRIN",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",NA,NA,9
"POTOMAC LOWER","FLUORANTHENE","PAH2",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","FLUORENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","NAPHTHALENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC LOWER","PCB_TOTAL","PCB_TOTAL",NA,5,2021,5,"2021",5,0,0,5,NA,"Never",NA,"Never",2021-06-16,"2021",NA,NA,0
"POTOMAC LOWER","PYRENE","PAH2",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC MIDDLE","4_4_DDD","DDD",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC MIDDLE","4_4_DDE","DDE",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC MIDDLE","4_4_DDT","DDT",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC MIDDLE","ACENAPHTHENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC MIDDLE","ANTHRACENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC MIDDLE","BENZO_A_ANTHRACENE","PAH2",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",NA,NA,10
"POTOMAC MIDDLE","BENZO_A_PYRENE","PAH3",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",NA,NA,10
"POTOMAC MIDDLE","BENZO_B_FLUORANTHENE","PAH3",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",NA,NA,10
"POTOMAC MIDDLE","BENZO_K_FLUORANTHENE","PAH3",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",NA,NA,10
"POTOMAC MIDDLE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC MIDDLE","CHRYSENE","PAH2",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",NA,NA,10
"POTOMAC MIDDLE","DIBENZO_A_H_ANTHRACENE","PAH3",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",NA,NA,10
"POTOMAC MIDDLE","DIELDRIN","DIELDRIN",NA,13,2021,2,"2020",13,0,0,2,NA,"Never",NA,"Never",2020-09-11,"2020",NA,NA,9
"POTOMAC MIDDLE","FLUORANTHENE","PAH2",NA,13,2021,1,"2020",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC MIDDLE","FLUORENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC MIDDLE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",NA,NA,9
"POTOMAC MIDDLE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",NA,NA,10
"POTOMAC MIDDLE","NAPHTHALENE","PAH1",NA,13,2021,1,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC MIDDLE","PCB_TOTAL","PCB_TOTAL",NA,5,2021,5,"2021",5,0,0,5,NA,"Never",NA,"Never",2021-06-16,"2021",NA,NA,0
"POTOMAC MIDDLE","PYRENE","PAH2",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC UPPER","4_4_DDD","DDD",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC UPPER","4_4_DDE","DDE",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC UPPER","4_4_DDT","DDT",NA,13,2021,1,"2021",13,1,0,1,2021-06-16,"2021",NA,"Never",2021-06-16,"2021",0,NA,0
"POTOMAC UPPER","ACENAPHTHENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC UPPER","ANTHRACENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC UPPER","BENZO_A_ANTHRACENE","PAH2",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",NA,NA,9
"POTOMAC UPPER","BENZO_A_PYRENE","PAH3",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",NA,NA,9
"POTOMAC UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",NA,NA,9
"POTOMAC UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",NA,NA,9
"POTOMAC UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC UPPER","CHRYSENE","PAH2",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",NA,NA,9
"POTOMAC UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",NA,NA,9
"POTOMAC UPPER","DIELDRIN","DIELDRIN",NA,13,2021,1,"2021",13,0,0,1,NA,"Never",NA,"Never",2021-06-16,"2021",NA,NA,0
"POTOMAC UPPER","FLUORANTHENE","PAH2",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC UPPER","FLUORENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-11-04,"2020",NA,NA,7
"POTOMAC UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",NA,NA,9
"POTOMAC UPPER","NAPHTHALENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"POTOMAC UPPER","PCB_TOTAL","PCB_TOTAL",NA,5,2021,5,"2021",5,0,0,5,NA,"Never",NA,"Never",2021-06-16,"2021",NA,NA,0
"POTOMAC UPPER","PYRENE","PAH2",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ROCK CREEK LOWER","4_4_DDD","DDD",NA,13,2021,1,"2020",13,1,0,1,2020-12-08,"2020",NA,"Never",2020-12-08,"2020",6,NA,6
"ROCK CREEK LOWER","4_4_DDE","DDE",NA,14,2021,2,"2020",14,2,0,2,2020-12-08,"2020",NA,"Never",2020-12-08,"2020",6,NA,6
"ROCK CREEK LOWER","4_4_DDT","DDT",NA,13,2021,1,"2020",13,1,0,1,2020-12-08,"2020",NA,"Never",2020-12-08,"2020",6,NA,6
"ROCK CREEK LOWER","ACENAPHTHENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ROCK CREEK LOWER","ANTHRACENE","PAH1",NA,21,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ROCK CREEK LOWER","BENZO_A_ANTHRACENE","PAH2",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-07-09,"2020",NA,NA,11
"ROCK CREEK LOWER","BENZO_A_PYRENE","PAH3",NA,21,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ROCK CREEK LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-07-09,"2020",NA,NA,11
"ROCK CREEK LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-07-09,"2020",NA,NA,11
"ROCK CREEK LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,13,2021,1,"2020",13,1,0,1,2020-12-08,"2020",NA,"Never",2020-12-08,"2020",6,NA,6
"ROCK CREEK LOWER","CHRYSENE","PAH2",NA,13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-07-09,"2020",NA,NA,11
