"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"DALECARLIA TRIBUTARY","MERCURY","TOTAL","","","10","0","1995","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","MERCURY","TOTAL","","","13","13","2021","1","2020","1 (D)","2020 (D)","10 (D)","No (D)","Never (D)"
"FENWICK BRANCH","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","MERCURY","TOTAL","","","14","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","MERCURY","TOTAL","","","24","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","MERCURY","TOTAL","","","112","100","2021","100","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","MERCURY","TOTAL","","","33","12","2016","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KLINGLE VALLEY","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","MERCURY","TOTAL","","","13","13","2021","1","2020","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NASH RUN","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
