site_summary_segment,group_lower,2020_3030d_listing_category,impaired_use_category,number_of_samples_1990_to_2021,number_of_samples_2016_to_2021,most_recent_sample,number_of_detects,most_recent_detect,number_of_samples_exceeding_class_c,most_recent_class_c_exceedance,number_of_samples_since_last_class_c_exceedance,has_there_been_multi_class_c_exceedance_in_3yr,when_was_last_period_with_multi_class_c_exceedance
Watts Banch,chlordane,,,NA,NA,NA,NA,NA,NA (CCC), NA (CMC),NA,NA (CCC), NA (CMC),NA,NA
Watts Branch,chlordane,,,6,3,2019,3,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Watts Branch - Upper,chlordane,,,13,13,2021,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Anacostia Lower,copper,,,175,67,2021,138,2021,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Anacostia Upper,copper,,,189,76,2021,153,2021,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Battery Kemble Creek,copper,,,27,NA,2013,17,2013,1 (CCC), 1 (CMC),2001 (CCC) 2001 (CMC),6 (CCC), 6 (CMC),NA,NA
Broad Branch,copper,,,23,13,2021,11,2021,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
C&O Canal,copper,,,46,NA,2002,19,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Dalecarlia Tributary,copper,,,24,NA,2002,14,2001,1 (CCC), 1 (CMC),2001 (CCC) 2001 (CMC),5 (CCC), 5 (CMC),NA,NA
Dumbarton Oaks Tributary,copper,,,24,13,2021,10,2021,1 (CCC), 1 (CMC),2020 (CCC) 2020 (CMC),10 (CCC), 10 (CMC),NA,NA
