"","waterbody_segment","pollutant_name","test_fraction","pollutant_group","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance","n_samples_2011_to_2021","most_recent_sample_2011_to_2021","n_detects_2011_to_2021","most_recent_detect_2011_to_2021","n_ccc_exceedance_2011_to_2021","n_cmc_exceedance_2011_to_2021","n_d_exceedance_2011_to_2021","n_samples_2016_to_2021","most_recent_sample_2016_to_2021","n_detects_2016_to_2021","most_recent_detect_2016_to_2021","n_ccc_exceedance_2016_to_2021","n_cmc_exceedance_2016_to_2021","n_d_exceedance_2016_to_2021","current_category","ccc_dl_ratio","cmc_dl_ratio","d_dl_ratio"
"184","ANACOSTIA UPPER","4_4_DDT",NA,"DDT",105,2019,16,"2018",17,12,0,16,2018-12-20,"2018",NA,"Never",2018-12-20,"2018",23,0,23,105,2019,16,"Never",12,0,16,86,2019,11,"Never",7,0,11,"4a","greater than 1","less than 1","greater than 1"
"185","BROAD BRANCH","4_4_DDT",NA,"DDT",14,2021,2,"2021",14,1,0,2,2020-12-08,"2020",NA,"Never",2021-03-17,"2021",6,0,3,14,2021,2,"Never",1,0,2,13,2021,2,"Never",1,0,2,"Not Listed","greater than 1","less than 1","greater than 1"
"186","DALECARLIA TRIBUTARY","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1"
"187","DUMBARTON OAKS","4_4_DDT",NA,"DDT",15,2021,3,"2020",14,2,0,3,2020-09-11,"2020",NA,"Never",2020-09-11,"2020",9,0,9,15,2021,3,"Never",2,0,3,13,2021,3,"Never",2,0,3,"3","greater than 1","less than 1","greater than 1"
"188","FENWICK BRANCH","4_4_DDT",NA,"DDT",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,NA,NA,NA,NA,NA,NA,NA,"4a","greater than 1","less than 1","greater than 1"
"189","FORT DUPONT TRIBUTARY","4_4_DDT",NA,"DDT",13,2021,1,"2020",13,1,0,1,2020-09-10,"2020",NA,"Never",2020-09-10,"2020",9,0,9,13,2021,1,"Never",1,0,1,13,2021,1,"Never",1,0,1,"Not Listed","greater than 1","less than 1","greater than 1"
"190","FORT STANTON TRIBUTARY","4_4_DDT",NA,"DDT",17,2021,0,"Never",16,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,17,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","greater than 1","less than 1","greater than 1"
"191","HICKEY RUN","4_4_DDT",NA,"DDT",6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"3","greater than 1","less than 1","greater than 1"
"192","KINGMAN LAKE","4_4_DDT",NA,"DDT",25,2019,3,"2016",13,2,0,3,2016-10-05,"2016",NA,"Never",2016-12-01,"2016",10,0,3,25,2019,3,"Never",2,0,3,15,2019,2,"Never",1,0,2,"3","greater than 1","less than 1","greater than 1"
"193","KLINGLE VALLEY","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1"
"194","LUZON BRANCH","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1"
"195","MELVIN HAZEN VALLEY BRANCH","4_4_DDT",NA,"DDT",14,2021,2,"2020",14,2,0,2,2020-08-12,"2020",NA,"Never",2020-08-12,"2020",10,0,10,14,2021,2,"Never",2,0,2,13,2021,2,"Never",2,0,2,"3","greater than 1","less than 1","greater than 1"
"196","NASH RUN","4_4_DDT",NA,"DDT",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"3","greater than 1","less than 1","greater than 1"
"197","NORMANSTONE CREEK","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"Not Listed","greater than 1","less than 1","greater than 1"
"198","OXON RUN","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1"
"199","PINEHURST BRANCH","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1"
"200","PINEY BRANCH","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1"
"201","POPE BRANCH","4_4_DDT",NA,"DDT",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,"3","greater than 1","less than 1","greater than 1"
"202","PORTAL BRANCH","4_4_DDT",NA,"DDT",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1"
"203","POTOMAC LOWER","4_4_DDT",NA,"DDT",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","greater than 1","less than 1","greater than 1"
"204","POTOMAC MIDDLE","4_4_DDT",NA,"DDT",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","greater than 1","less than 1","greater than 1"
"205","POTOMAC UPPER","4_4_DDT",NA,"DDT",13,2021,1,"2021",13,1,0,1,2021-06-16,"2021",NA,"Never",2021-06-16,"2021",0,0,0,13,2021,1,"Never",1,0,1,13,2021,1,"Never",1,0,1,"Not Listed","greater than 1","less than 1","greater than 1"
"206","ROCK CREEK LOWER","4_4_DDT",NA,"DDT",13,2021,1,"2020",13,1,0,1,2020-12-08,"2020",NA,"Never",2020-12-08,"2020",6,0,6,13,2021,1,"Never",1,0,1,13,2021,1,"Never",1,0,1,"Not Listed","greater than 1","less than 1","greater than 1"
"207","SOAPSTONE CREEK","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1"
"208","TEXAS AVENUE TRIBUTARY","4_4_DDT",NA,"DDT",6,2019,1,"2014",6,1,0,1,2014-01-12,"2014",NA,"Never",2014-01-12,"2014",3,0,3,6,2019,1,"Never",1,0,1,3,2019,0,"Never",0,0,0,"4a","greater than 1","less than 1","greater than 1"
"209","TIDAL BASIN","4_4_DDT",NA,"DDT",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1"
"210","WASHINGTON SHIP CHANNEL","4_4_DDT",NA,"DDT",19,2016,0,"Never",7,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2016,0,"Never",0,0,0,12,2016,0,"Never",0,0,0,"3","greater than 1","less than 1","greater than 1"
"211","WATTS BRANCH LOWER","4_4_DDT",NA,"DDT",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,"3","greater than 1","less than 1","greater than 1"
"212","WATTS BRANCH UPPER","4_4_DDT",NA,"DDT",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","greater than 1","less than 1","greater than 1"
"213","ANACOSTIA LOWER","ACENAPHTHENE",NA,"PAH1",52,2021,0,"Never",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,52,2021,0,"Never",0,0,0,40,2021,0,"Never",0,0,0,"4a","less than 1","NA","less than 1"
"214","ANACOSTIA UPPER","ACENAPHTHENE",NA,"PAH1",56,2019,2,"2014",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,56,2019,2,"Never",0,0,0,37,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1"
"215","BROAD BRANCH","ACENAPHTHENE",NA,"PAH1",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1"
"216","DALECARLIA TRIBUTARY","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1"
"217","DUMBARTON OAKS","ACENAPHTHENE",NA,"PAH1",15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","less than 1","NA","less than 1"
"218","FENWICK BRANCH","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1"
"219","FORT DUPONT TRIBUTARY","ACENAPHTHENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1"
"220","FORT STANTON TRIBUTARY","ACENAPHTHENE",NA,"PAH1",20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,0,"Never",0,0,0,16,2021,0,"Never",0,0,0,"4a","less than 1","NA","less than 1"
"221","HICKEY RUN","ACENAPHTHENE",NA,"PAH1",6,2019,2,"2014",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,2,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1"
"222","KINGMAN LAKE","ACENAPHTHENE",NA,"PAH1",25,2019,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,25,2019,0,"Never",0,0,0,15,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1"
"223","KLINGLE VALLEY","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1"
"224","LUZON BRANCH","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1"
"225","MELVIN HAZEN VALLEY BRANCH","ACENAPHTHENE",NA,"PAH1",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","less than 1","NA","less than 1"
"226","NASH RUN","ACENAPHTHENE",NA,"PAH1",7,2019,2,"2014",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,2,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1"
"227","NORMANSTONE CREEK","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","NA","less than 1"
"228","OXON RUN","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1"
"229","PINEHURST BRANCH","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1"
"230","PINEY BRANCH","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1"
"231","POPE BRANCH","ACENAPHTHENE",NA,"PAH1",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1"
"232","PORTAL BRANCH","ACENAPHTHENE",NA,"PAH1",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1"
"233","POTOMAC LOWER","ACENAPHTHENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1"
"234","POTOMAC MIDDLE","ACENAPHTHENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1"
"235","POTOMAC UPPER","ACENAPHTHENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1"
"236","ROCK CREEK LOWER","ACENAPHTHENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1"
"237","SOAPSTONE CREEK","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1"
"238","TEXAS AVENUE TRIBUTARY","ACENAPHTHENE",NA,"PAH1",6,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1"
"239","TIDAL BASIN","ACENAPHTHENE",NA,"PAH1",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1"
"240","WASHINGTON SHIP CHANNEL","ACENAPHTHENE",NA,"PAH1",19,2016,0,"Never",7,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2016,0,"Never",0,0,0,12,2016,0,"Never",0,0,0,"3","less than 1","NA","less than 1"
"241","WATTS BRANCH LOWER","ACENAPHTHENE",NA,"PAH1",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1"
"242","WATTS BRANCH UPPER","ACENAPHTHENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","less than 1","NA","less than 1"
"243","ANACOSTIA LOWER","BENZO_A_ANTHRACENE",NA,"PAH2",52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",0,0,18,52,2021,2,"Never",0,0,2,40,2021,2,"Never",0,0,2,"4a","NA","NA","greater than 1"
"244","ANACOSTIA UPPER","BENZO_A_ANTHRACENE",NA,"PAH2",56,2019,5,"2016",14,0,0,5,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,28,56,2019,5,"Never",0,0,5,37,2019,2,"Never",0,0,2,"4a","NA","NA","greater than 1"
"245","BROAD BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","greater than 1"
"246","DALECARLIA TRIBUTARY","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"247","DUMBARTON OAKS","BENZO_A_ANTHRACENE",NA,"PAH2",15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1"
"248","FENWICK BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"249","FORT DUPONT TRIBUTARY","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","greater than 1"
"250","FORT STANTON TRIBUTARY","BENZO_A_ANTHRACENE",NA,"PAH2",20,2021,1,"2014",19,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,16,20,2021,1,"Never",0,0,1,16,2021,0,"Never",0,0,0,"4a","NA","NA","greater than 1"
"251","HICKEY RUN","BENZO_A_ANTHRACENE",NA,"PAH2",6,2019,2,"2014",5,0,0,2,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,3,6,2019,2,"Never",0,0,2,3,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1"
"252","KINGMAN LAKE","BENZO_A_ANTHRACENE",NA,"PAH2",25,2019,3,"2016",13,0,0,3,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,10,25,2019,3,"Never",0,0,3,15,2019,1,"Never",0,0,1,"4a","NA","NA","greater than 1"
"253","KLINGLE VALLEY","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"254","LUZON BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"255","MELVIN HAZEN VALLEY BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1"
"256","NASH RUN","BENZO_A_ANTHRACENE",NA,"PAH2",7,2019,3,"2018",6,0,0,3,NA,"Never",NA,"Never",2018-10-12,"2018",0,0,1,7,2019,3,"Never",0,0,3,3,2019,1,"Never",0,0,1,"4a","NA","NA","greater than 1"
"257","NORMANSTONE CREEK","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"Not Listed","NA","NA","greater than 1"
"258","OXON RUN","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"259","PINEHURST BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"260","PINEY BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"261","POPE BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",7,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,4,7,2019,1,"Never",0,0,1,4,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1"
"262","PORTAL BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"263","POTOMAC LOWER","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","greater than 1"
"264","POTOMAC MIDDLE","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",0,0,10,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","greater than 1"
"265","POTOMAC UPPER","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",0,0,9,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","greater than 1"
"266","ROCK CREEK LOWER","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-07-09,"2020",0,0,11,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","greater than 1"
"267","SOAPSTONE CREEK","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"268","TEXAS AVENUE TRIBUTARY","BENZO_A_ANTHRACENE",NA,"PAH2",6,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,3,6,2019,1,"Never",0,0,1,3,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1"
"269","TIDAL BASIN","BENZO_A_ANTHRACENE",NA,"PAH2",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"270","WASHINGTON SHIP CHANNEL","BENZO_A_ANTHRACENE",NA,"PAH2",19,2016,2,"2016",7,0,0,2,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,4,19,2016,2,"Never",0,0,2,12,2016,2,"Never",0,0,2,"3","NA","NA","greater than 1"
"271","WATTS BRANCH LOWER","BENZO_A_ANTHRACENE",NA,"PAH2",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"272","WATTS BRANCH UPPER","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1"
"273","ANACOSTIA LOWER","BENZO_A_PYRENE",NA,"PAH3",52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",0,0,18,52,2021,2,"Never",0,0,2,40,2021,2,"Never",0,0,2,"4a","NA","NA","greater than 1"
"274","ANACOSTIA UPPER","BENZO_A_PYRENE",NA,"PAH3",56,2019,4,"2016",14,0,0,4,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,28,56,2019,4,"Never",0,0,4,37,2019,1,"Never",0,0,1,"4a","NA","NA","greater than 1"
"275","BROAD BRANCH","BENZO_A_PYRENE",NA,"PAH3",15,2021,1,"2020",15,0,0,1,NA,"Never",NA,"Never",2020-10-07,"2020",0,0,8,14,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","greater than 1"
"276","DALECARLIA TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"277","DUMBARTON OAKS","BENZO_A_PYRENE",NA,"PAH3",16,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1"
"278","FENWICK BRANCH","BENZO_A_PYRENE",NA,"PAH3",2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1"
"279","FORT DUPONT TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","greater than 1"
"280","FORT STANTON TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,0,"Never",0,0,0,16,2021,0,"Never",0,0,0,"4a","NA","NA","greater than 1"
