"site_summary_segment","group_lower","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample","number_of_detects","most_recent_detect","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"Potomac Upper","copper","","",65,13,2021,9,"2021",0,NA,NA,NA,NA
"Rock Creek Lower","copper","","",43,13,2021,11,"2021",0,NA,NA,"No","Never"
"Rock Creek Upper","copper","","",210,128,2021,170,"2021",0,NA,NA,NA,NA
"Soapstone Creek","copper","","",11,NA,2002,1,"2000",0,NA,NA,NA,NA
"Texas Avenue Tributary","copper","","",28,3,2019,5,"2014",0,NA,NA,NA,NA
"Tidal Basin","copper","","",33,NA,2002,0,"never",0,NA,NA,NA,NA
"Washington Ship Channel","copper","","",43,12,2016,17,"2016",0,NA,NA,NA,NA
"Watts Banch","copper","","",3,3,2017,3,"2017",0,NA,NA,NA,NA
"Watts Branch","copper","","",217,100,2021,139,"2021",0,NA,NA,NA,NA
"Watts Branch - Upper","copper","","",13,13,2021,10,"2021",0,NA,NA,NA,NA
"Anacostia Lower","ddd","","",59,43,2021,3,"2018",3,2018,15,"Yes","2016 - 2019"
"Anacostia Upper","ddd","","",116,97,2021,7,"2018",7,2018,35,"Yes","2018 - 2021"
"Battery Kemble Creek","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broad Branch","ddd","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"C&O Canal","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalecarlia Tributary","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Dumbarton Oaks Tributary","ddd","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"Fenwick Branch","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Fort Chaplin Tributary","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Davis Tributary","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
