"waterbody_segment","pollutant_group","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample","number_of_detects","most_recent_detect","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"WATTS BRANCH UPPER","DDD","","",13,13,2021,1,"2021",1,2021,1,NA,NA
"ANACOSTIA LOWER","DDE","","",52,40,2021,0,"never",0,NA,NA,NA,NA
"ANACOSTIA UPPER","DDE","","",105,86,2019,1,"2018",1,2018,54,NA,NA
"BATTERY KEMBLE CREEK","DDE","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROAD BRANCH","DDE","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"C&O CANAL","DDE","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"DUMBARTON OAKS","DDE","","",15,13,2021,1,"2020",1,2020,10,NA,NA
"FENWICK BRANCH","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"FORT CHAPLIN TRIBUTARY","DDE","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DAVIS TRIBUTARY","DDE","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DUPONT TRIBUTARY","DDE","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"FORT STANTON TRIBUTARY","DDE","","",17,13,2021,1,"2020",1,2020,6,NA,NA
"FOUNDRY BRANCH","DDE","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HICKEY RUN","DDE","","",6,3,2019,1,"2014",1,2014,3,NA,NA
"KINGMAN LAKE","DDE","","",25,15,2019,0,"never",0,NA,NA,NA,NA
"KLINGLE VALLEY","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"LUZON BRANCH","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","DDE","","",14,13,2021,1,"2020",1,2020,9,NA,NA
"NASH RUN","DDE","","",7,3,2019,0,"never",0,NA,NA,NA,NA
"NORMANSTONE CREEK","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"OXON RUN","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEHURST BRANCH","DDE","","",2,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEY BRANCH","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"POPE BRANCH","DDE","","",7,4,2019,1,"2014",1,2014,4,NA,NA
"PORTAL BRANCH","DDE","","",2,NA,2013,0,"never",0,NA,NA,NA,NA
"POTOMAC LOWER","DDE","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"POTOMAC MIDDLE","DDE","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"POTOMAC UPPER","DDE","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"ROCK CREEK LOWER","DDE","","",14,13,2021,2,"2020",2,2020,6,"Yes","2018 - 2021"
"ROCK CREEK UPPER","DDE","","",19,NA,2000,0,"never",0,NA,NA,NA,NA
"SOAPSTONE CREEK","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"TEXAS AVENUE TRIBUTARY","DDE","","",6,3,2019,3,"2019",3,2019,0,"Yes","2013 - 2016"
"TIDAL BASIN","DDE","","",3,NA,2014,0,"never",0,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","DDE","","",19,12,2016,0,"never",0,NA,NA,NA,NA
"WATTS BRANCH LOWER","DDE","","",7,4,2019,0,"never",0,NA,NA,NA,NA
"WATTS BRANCH UPPER","DDE","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"ANACOSTIA LOWER","DDT","","",52,40,2021,5,"2021",5,2021,0,"Yes","2018 - 2021"
