"","station","date","group_lower","parameter","form","result","unit","detection","source","dl","type","watershed","waterbody","designated_use","segment","site_summary_segment","year","month","year_mon","group_upper","ccc","cmc","d","units","suspected_nd","insufficient_dl_class_c","insufficient_dl_class_d","raw_exceedance_ccc","raw_exceedance_cmc","raw_exceedance_d","evidence_based_exceedance_ccc","evidence_based_exceedance_cmc","evidence_based_exceedance_d"
"63","1648010",2015-06-24,"zinc","zinc - dissolved","dissolved",NA,"ug/l","nd","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,6,"2015-6","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"64","1648010",2015-07-29,"copper","copper - dissolved","dissolved",5.9,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,7,"2015-7","Copper",10.60106105,16.18585049,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"65","1648010",2015-07-29,"zinc","zinc - dissolved","dissolved",NA,"ug/l","nd","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,7,"2015-7","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"66","1648010",2015-08-27,"copper","copper - dissolved","dissolved",3.5,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,8,"2015-8","Copper",10.60106105,16.18585049,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"67","1648010",2015-08-27,"zinc","zinc - dissolved","dissolved",NA,"ug/l","nd","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,8,"2015-8","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"68","1648010",2015-09-16,"copper","copper - dissolved","dissolved",3.5,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,9,"2015-9","Copper",10.60106105,16.18585049,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"69","1648010",2015-09-16,"zinc","zinc - dissolved","dissolved",NA,"ug/l","nd","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,9,"2015-9","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"70","1648010",2015-10-26,"copper","copper - dissolved","dissolved",1.8,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,10,"2015-10","Copper",10.60106105,16.18585049,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"71","1648010",2015-10-26,"zinc","zinc - dissolved","dissolved",NA,"ug/l","nd","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,10,"2015-10","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"72","1648010",2015-11-10,"copper","copper - dissolved","dissolved",4.1,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,11,"2015-11","Copper",10.60106105,16.18585049,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"73","1648010",2015-11-10,"zinc","zinc - dissolved","dissolved",4.2,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,11,"2015-11","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"74","1648010",2015-11-23,"copper","copper - dissolved","dissolved",1.8,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,11,"2015-11","Copper",10.60106105,16.18585049,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"75","1648010",2015-11-23,"zinc","zinc - dissolved","dissolved",NA,"ug/l","nd","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,11,"2015-11","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"76","1648010",2015-12-02,"copper","copper - dissolved","dissolved",2.7,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,12,"2015-12","Copper",10.60106105,16.18585049,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"77","1648010",2015-12-02,"zinc","zinc - dissolved","dissolved",NA,"ug/l","nd","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,12,"2015-12","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"78","1648010",2015-12-14,"copper","copper - dissolved","dissolved",NA,"ug/l","nd","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,12,"2015-12","Copper",10.60106105,16.18585049,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"79","1648010",2015-12-14,"zinc","zinc - dissolved","dissolved",NA,"ug/l","nd","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2015,12,"2015-12","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"80","1648010",2016-01-28,"copper","copper - dissolved","dissolved",2.2,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2016,1,"2016-1","Copper",10.60106105,16.18585049,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"81","1648010",2016-01-28,"zinc","zinc - dissolved","dissolved",7,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2016,1,"2016-1","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"82","1648010",2016-02-24,"copper","copper - dissolved","dissolved",3.2,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2016,2,"2016-2","Copper",10.60106105,16.18585049,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"83","1648010",2016-02-24,"zinc","zinc - dissolved","dissolved",4.5,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2016,2,"2016-2","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"84","1648010",2016-03-22,"copper","copper - dissolved","dissolved",NA,"ug/l","nd","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2016,3,"2016-3","Copper",10.60106105,16.18585049,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"85","1648010",2016-03-22,"zinc","zinc - dissolved","dissolved",NA,"ug/l","nd","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2016,3,"2016-3","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"86","1648010",2016-04-26,"copper","copper - dissolved","dissolved",2,"ug/l","d","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2016,4,"2016-4","Copper",10.60106105,16.18585049,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
"87","1648010",2016-04-26,"zinc","zinc - dissolved","dissolved",NA,"ug/l","nd","USGS",NA,"Mainstem","Rock Creek","Rock Creek",NA,"","Rock Creek Upper",2016,4,"2016-4","Zinc",139.6443495,138.5113325,NA,"ug/l",FALSE,FALSE,FALSE,0,0,0,0,0,0
